,video_id,title_new,show,viewCount,likeCount,commentCount,publishedDay,durationSec
86,0C8URFQT64k,Hookup Culture and Internet Fraud  featuring Dr Foy , S3 EPS13,160237.0,3867.0,810.0,Monday,4782.0
87,544FW-6ft6A,The reason I don’t overhype Ay on stage,,192214.0,6391.0,163.0,Tuesday,60.0
88,LHU7YZ_qpfQ,Basketmouth on the 30k story,,18938.0,600.0,23.0,Tuesday,48.0
89,C6XbceYGImg,Basket Mouth in the 30k debt to Comedian Ay,,39431.0,1121.0,29.0,Monday,21.0
90,tcFQDygwXYQ,Friendship and Loyalty featuring Basketmouth , S3 EPS12,419563.0,9315.0,1501.0,Monday,5259.0
91,M10Zz-ncPCU,Is masturbation off the books in celibacy?,,9610.0,334.0,5.0,Tuesday,61.0
92,TMgqszt5mtk,Your Mistake doesn’t define you❤️,,11275.0,715.0,29.0,Tuesday,38.0
93,J_hg4FjBjVo,Celibacy & sexual purity  featuring Juliana Olayode , S3 EPS11,66824.0,1861.0,425.0,Monday,6223.0
94,81Pp8iW_ftk,No woman is out of your league?  Ft Whitemoney , The Honest Bunch - S3E10,153439.0,4048.0,856.0,Monday,5228.0
95,tfxMCYM_Ygc,"The art of clout chasing - The Rants, Bants, and Confessions Podcast ", S1E3,19809.0,522.0,46.0,Thursday,4151.0
96,Mb_qmPbDfLU,Body Positivity  Ft Monalisa Stephen , The Honest Bunch - S3E9,83657.0,2134.0,538.0,Monday,3750.0
97,9O7Czz2Gkyc,Does a leader inability to communicate in the local language of his people  affect the job?,,8800.0,290.0,18.0,Wednesday,61.0
98,Bt9TzknC2x0,Stereotypes groom tribalism.,,7647.0,277.0,10.0,Wednesday,24.0
99,fpUcz39r6IY,"Our Man with experience Nedu, Has some questions for tribalistic folks.",,7812.0,296.0,10.0,Wednesday,22.0
100,64Vle4Ce8-Y,TRIBALISM , The honest bunch - S03E8,70564.0,1643.0,654.0,Monday,4166.0
101,_CFN5H0A_bo,"African Parents vs The Gen Z - The Rants, Bants, and Confessions Podcast ", S1E2,42272.0,1378.0,183.0,Thursday,4057.0
102,WQAzo3Jdb6U,Home Training & Social Etiquette FT Angela Okorie , The honest bunch - S03E07,158991.0,3868.0,729.0,Monday,5892.0
103,g7F1UgARi3A,"Valentine Special - The Rants, Bants and Confessions Podcast ", S1E1,89973.0,2382.0,987.0,Tuesday,3953.0
104,Ajk4TVQvZfs,"No finance, No Romance; The reality of dating in the 21st century Ft Phyna ", The Honest Bunch - S3E6,168839.0,4971.0,1290.0,Monday,4795.0
105,mxyO4GdN-ms,Marriage without parent's approval Ft  Nasboi , Honest Bunch Podcast - S3Ep5,149367.0,4078.0,652.0,Monday,3592.0
106,Ofz6mg2Ofn8,Should Celebrities publicly support political candidates  Ft Okon  ,Honest Bunch Podcast - S3Ep4,175882.0,5664.0,1990.0,Monday,4061.0
107,6z_IrIpQXvg,Fake life vs Packaging,,31622.0,1306.0,17.0,Monday,28.0
108,re6F7bWtqUY,Fake It Till You Make It Syndrome ft Doyin - S3 EPS 3 , The Honest Bunch Podcast,132683.0,3620.0,985.0,Monday,2775.0
109,mkEfhPAaISk,Kunle Remi shares an interesting experience he had in this humble years,,53435.0,1549.0,49.0,Monday,60.0
110,n-gNJsjryLs,Why do female entertainers seem to be doing better than their male counterparts?,,88228.0,3271.0,107.0,Monday,60.0
111,9drUnNy1hI4,Entertainers and Entertainment money Ft Kunle Remi , The Honest Bunch Podcast - S3 Eps 2,294089.0,9274.0,1380.0,Monday,3953.0
112,-AuCDAkUYUc,Are you team exclusive or team open relationships?,,9632.0,346.0,3.0,Tuesday,34.0
113,DiOMitLoBNU,Why do you guys like fighting 😂,,15628.0,750.0,14.0,Tuesday,39.0
114,SUWl7YYTtWo,Marriage;  A Poverty Alleviation Scheme ? FT Don Jazzy , S3 EPS1,277805.0,5957.0,1124.0,Monday,3488.0
115,nx5SnVIq_FY,Desperation to be a MRS - S2E21 , The Frankly Speaking Podcast,92957.0,2162.0,759.0,Monday,3430.0
